ID,Zimmer,Quadratmet,Preis,PLZ,Adresse,AdressePLZ,City,Canton,Country,result_num,osm_id,display_na,category,type,latlong,id_2,adr_inter,adresse_2,adrzus_int,behindertenparkplatz,bemerkung,ccmail,da,datum,datum_cms,dep,editor,erforderlichedokumente,fax,hausnummer,hindernisfreiheit,infrastruktur,isbetriebsferien_gebaeude,isbetriebsferien_schalter,kategorie,mail,name,namenzus,objectid,oeffnungszeiten_gebaeude_di,oeffnungszeiten_gebaeude_do,oeffnungszeiten_gebaeude_fr,oeffnungszeiten_gebaeude_mi,oeffnungszeiten_gebaeude_mo,oeffnungszeiten_gebaeude_sa,oeffnungszeiten_gebaeude_so,oeffnungszeiten_schalter_di,oeffnungszeiten_schalter_do,oeffnungszeiten_schalter_fr,oeffnungszeiten_schalter_mi,oeffnungszeiten_schalter_mo,oeffnungszeiten_schalter_sa,oeffnungszeiten_schalter_so,ort,plz_2,poi_id,postadresse,publish_internet,strasse,suchen,tel,tel2,www,zahlungsmittel_internet,zahlungsmittel_schalter,zahlungsmittel_telefon,zvv_label,zvv_link,einheit,schulkreis,n,distance,feature_x,feature_y,nearest_x,nearest_y
"11","3","91","3010","8006",Winterthurerstrasse 85,"Winterthurerstrasse 85, 8006",Zurich,Zurich,Switzerland,"0","81031293","85, Winterthurerstrasse, Oberstrass, Kreis 6, Zürich, Bezirk Zürich, Zürich, 8006, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.39106295,8.545090236838394","115",,Riedtlistrasse 41,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,+41 44 413 17 71,"41",,,,,Volksschule,,Riedtli,,279,,,,,,,,,,,,,,,Zürich,"8006",vo292,,"1",Riedtlistrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 17 70,SL: +41 44 413 17 89,https://www.stadt-zuerich.ch/schulen/de/riedtli.html,,,,"Zürich, Scheuchzerstrasse",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.38881438842158&tolon=8.54280607337072&toname=Zürich%2C+Riedtlistrasse+41,Riedtli,Waidberg,"1",0.00320522088945628,8.54509023683839,47.39106295,8.54280607335378,47.3888143864306
"12","3","84","3220","8064",Wuerzwies 9,"Wuerzwies 9, 8064",Zurich,Zurich,Switzerland,"0","53560041","9, Würzwies, Werdwies, Altstetten, Kreis 9, Zürich, Bezirk Zürich, Zürich, 8064, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3979025,8.492847116023965","53",,Grünauring 26,,,,,Schulamt,"202206091624",,Schul- und Sportdepartement (SSD),ssdiha,,+41 44 413 05 51,"26",,,,,Volksschule,,Grünau,,217,,,,,,,,,,,,,,,Zürich,"8064",vo233,,"1",Grünauring,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 05 50,,https://www.stadt-zuerich.ch/schulen/de/gruenau.html,,,,"Zürich, Grünaustrasse",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.396297527070764&tolon=8.489086368361487&toname=Zürich%2C+Grünauring+26,Grünau,Letzi,"1",0.00408890787305144,8.49284711602396,47.3979025,8.48908636834537,47.3962975250805
"13","3","81","4740","8003",Zelgstrasse 1,"Zelgstrasse 1, 8003",Zurich,Zurich,Switzerland,"0","11056390823","1, Zelgstrasse, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8003, Schweiz/Suisse/Svizzera/Svizra",man_made,surveillance,"47.36695,8.5227744","1",,Aegertenstrasse 29,,,,,Schulamt,"201901251041",,Schul- und Sportdepartement (SSD),ssdklv,,,"29",,,,,Volksschule,,Aegerten,,45,,,,,,,,,,,,,,,Zürich,"8003",vo200,,"1",Aegertenstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 08 58,,https://www.stadt-zuerich.ch/schulen/de/aegerten.html,,,,"Zürich, Bahnhof Wiedikon",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.36912244598671&tolon=8.5227185077607&toname=Zürich%2C+Aegertenstrasse+29,Aegerten,Uto,"1",0.0021731628678333,8.5227744,47.36695,8.52271850774408,47.3691224439937
"14","3","91","6930","8045",Wolframplatz 1,"Wolframplatz 1, 8045",Zurich,Zurich,Switzerland,"0","238894521","Züri drü Boardinghouse, 1, Wolframplatz, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8045, Schweiz/Suisse/Svizzera/Svizra",building,residential,"47.3622153,8.522196068843808","57",,Haldenstrasse 70,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,+41 44 413 32 12,"70",,,,,Volksschule,,Rebhügel,,221,,,,,,,,,,,,,,,Zürich,"8045",vo288,,"1",Haldenstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 32 10,,https://www.stadt-zuerich.ch/schulen/de/rebhuegel.html,,,,"Zürich, Binz",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.36535938681976&tolon=8.516724937149837&toname=Zürich%2C+Haldenstrasse+70,Rebhügel,Uto,"1",0.00631019425922898,8.52219606884381,47.3622153,8.5167249371333,47.3653593848264
"15","3","83","2740","8051",Grosswiesenstrasse 165,"Grosswiesenstrasse 165, 8051",Zurich,Zurich,Switzerland,"0","513586616","165, Grosswiesenstrasse, Hirzenbach, Kreis 12, Zürich, Bezirk Zürich, Zürich, 8051, Schweiz/Suisse/Svizzera/Svizra",building,residential,"47.40329025,8.58972705","101",,Luchswiesenstrasse 186,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,+41 44 413 06 21,"186",,,,,Volksschule,,Hirzenbach,,265,,,,,,,,,,,,,,,Zürich,"8051",vo243,,"1",Luchswiesenstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 06 20,,https://www.stadt-zuerich.ch/schulen/de/hirzenbach.html,,,,"Zürich, Luchswiesen",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.40443498202149&tolon=8.586991569335307&toname=Zürich%2C+Luchswiesenstrasse+186,Hirzenbach,Schwamendingen,"1",0.00296534338813428,8.58972705,47.40329025,8.58699156931769,47.404434980032
"16","3","67","2650","8006",Universitaetstrasse 73,"Universitaetstrasse 73, 8006",Zurich,Zurich,Switzerland,"0","97234514","73, Universitätstrasse, Oberstrass, Kreis 6, Zürich, Bezirk Zürich, Zürich, 8006, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.38250465,8.547922758363601","70",,Huttenstrasse 14,,,,,Schulamt,"202106240939",,Schul- und Sportdepartement (SSD),ssdbz0d7,,,"14",,,,,Volksschule,,Hutten,,234,,,,,,,,,,,,,,,Zürich,"8006",vo247,,"1",Huttenstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 21 99,,https://www.stadt-zuerich.ch/schulen/de/hutten.html,,,,"Zürich, Winkelriedstrasse",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.3822999670776&tolon=8.54901112228755&toname=Zürich%2C+Huttenstrasse+14,Hutten,Waidberg,"1",0.00110744386219665,8.5479227583636,47.38250465,8.54901112227052,47.382299965086
"17","3","87","2510","8050",Viktoriastrasse 61,"Viktoriastrasse 61, 8050",Zurich,Zurich,Switzerland,"0","89177941","61, Viktoriastrasse, Oerlikon, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.406122350000004,8.550913739729301","6",,Apfelbaumstrasse 31,,,,,Schulamt,"202208221212",,Schul- und Sportdepartement (SSD),ssdbr9s9,,+41 44 413 28 29,"31",,,,,Volksschule,,Apfelbaum,,50,,,,,,,,,,,,,,,Zürich,"8050",vo208,,"1",Apfelbaumstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 28 28,,https://www.stadt-zuerich.ch/schulen/de/apfelbaum.html,,,,"Zürich, Friedackerstrasse",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.4066086047733&tolon=8.555668061687975&toname=Zürich%2C+Apfelbaumstrasse+31,Apfelbaum,Glattal,"1",0.00477912323483975,8.5509137397293,47.40612235,8.55566806167083,47.4066086027841
"18","3","98","2890","8045",Uetlibergstrasse 29,"Uetlibergstrasse 29, 8045",Zurich,Zurich,Switzerland,"0","343991305","29, Uetlibergstrasse, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8045, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.364025850000004,8.520723140083216","57",,Haldenstrasse 70,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,+41 44 413 32 12,"70",,,,,Volksschule,,Rebhügel,,221,,,,,,,,,,,,,,,Zürich,"8045",vo288,,"1",Haldenstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 32 10,,https://www.stadt-zuerich.ch/schulen/de/rebhuegel.html,,,,"Zürich, Binz",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.36535938681976&tolon=8.516724937149837&toname=Zürich%2C+Haldenstrasse+70,Rebhügel,Uto,"1",0.00421472916827073,8.52072314008322,47.36402585,8.5167249371333,47.3653593848264
"19","3","83","3960","8032",Zeltweg 49,"Zeltweg 49, 8032",Zurich,Zurich,Switzerland,"0","342456131","49, Zeltweg, Hottingen, Kreis 7, Zürich, Bezirk Zürich, Zürich, 8032, Schweiz/Suisse/Svizzera/Svizra",building,residential,"47.367925,8.552201649215174","105",,Mühlebachstrasse 71,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,,"71",,,,,Volksschule,,Mühlebach,Primarschule,269,,,,,,,,,,,,,,,Zürich,"8008",vo294,,"1",Mühlebachstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 15 00,,https://www.stadt-zuerich.ch/schulen/de/riesbach.html,,,,"Zürich, Feldeggstrasse",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.3626033915471&tolon=8.553754035673114&toname=Zürich%2C+Mühlebachstrasse+71,Riesbach,Zürichberg,"1",0.00554341423734318,8.55220164921517,47.367925,8.55375403565602,47.3626033895534
"20","3","89","3710","8032",Waldschulweg 21,"Waldschulweg 21, 8032",Zurich,Zurich,Switzerland,"0","113190931","21, Waldschulweg, Hirslanden, Kreis 7, Zürich, Bezirk Zürich, Zürich, 8032, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.36395055,8.572258976315858","49",,Freiestrasse 191,,,,,Schulamt,"202305251420",,Schul- und Sportdepartement (SSD),ssdkbe,,,"191",,,,,Volksschule,,Hofacker,,213,,,,,,,,,,,,,,,Zürich,"8032",vo025,,"1",Freiestrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 14 00,,https://www.stadt-zuerich.ch/schulen/de/hirslanden_sek.html,,,,"Zürich, Freiestrasse",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.362230742529114&tolon=8.56520590386534&toname=Zürich%2C+Freiestrasse+191,Hirslanden Sek,Zürichberg,"1",0.00725972284803815,8.57225897631586,47.36395055,8.56520590384807,47.3622307405354
"21","3","81","1970","8038",Kilchbergsteig 2,"Kilchbergsteig 2, 8038",Zurich,Zurich,Switzerland,"0","4237490092","Kimberly Beauty, 2, Kilchbergsteig, Wollishofen, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8038, Schweiz/Suisse/Svizzera/Svizra",shop,beauty,"47.3440685,8.5322441","24",,Kilchbergstrasse 23,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,,"23",,,,,Volksschule,,Wollishofen,,68,,,,,,,,,,,,,,,Zürich,"8038",vo254,,"1",Kilchbergstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 12 40,,https://www.stadt-zuerich.ch/schulen/de/wollishofen.html,,,,"Zürich, Post Wollishofen",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.34236065984741&tolon=8.534304470263862&toname=Zürich%2C+Kilchbergstrasse+23,Wollishofen - Im Lee,Uto,"1",0.0026761633654291,8.5322441,47.3440685,8.53430447024707,47.3423606578517
"22","3","87","2220","8038",Kilchbergsteig 4,"Kilchbergsteig 4, 8038",Zurich,Zurich,Switzerland,"0","110593242","4, Kilchbergsteig, Wollishofen, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8038, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3437214,8.53245575","24",,Kilchbergstrasse 23,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,,"23",,,,,Volksschule,,Wollishofen,,68,,,,,,,,,,,,,,,Zürich,"8038",vo254,,"1",Kilchbergstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 12 40,,https://www.stadt-zuerich.ch/schulen/de/wollishofen.html,,,,"Zürich, Post Wollishofen",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.34236065984741&tolon=8.534304470263862&toname=Zürich%2C+Kilchbergstrasse+23,Wollishofen - Im Lee,Uto,"1",0.00229551426613761,8.53245575,47.3437214,8.53430447024707,47.3423606578517
"23","3","72","2710","8004",Weberstrasse 10,"Weberstrasse 10, 8004",Zurich,Zurich,Switzerland,"0","6495350767","LAMIR International GmbH, 10, Weberstrasse, Werd, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",amenity,car_rental,"47.3706235,8.5286468","1",,Aegertenstrasse 29,,,,,Schulamt,"201901251041",,Schul- und Sportdepartement (SSD),ssdklv,,,"29",,,,,Volksschule,,Aegerten,,45,,,,,,,,,,,,,,,Zürich,"8003",vo200,,"1",Aegertenstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 08 58,,https://www.stadt-zuerich.ch/schulen/de/aegerten.html,,,,"Zürich, Bahnhof Wiedikon",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.36912244598671&tolon=8.5227185077607&toname=Zürich%2C+Aegertenstrasse+29,Aegerten,Uto,"1",0.00611537555720337,8.5286468,47.3706235,8.52271850774408,47.3691224439937
"24","3","84","2400","8038",Kilchbergsteig 4,"Kilchbergsteig 4, 8038",Zurich,Zurich,Switzerland,"0","110593242","4, Kilchbergsteig, Wollishofen, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8038, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3437214,8.53245575","24",,Kilchbergstrasse 23,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,,"23",,,,,Volksschule,,Wollishofen,,68,,,,,,,,,,,,,,,Zürich,"8038",vo254,,"1",Kilchbergstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 12 40,,https://www.stadt-zuerich.ch/schulen/de/wollishofen.html,,,,"Zürich, Post Wollishofen",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.34236065984741&tolon=8.534304470263862&toname=Zürich%2C+Kilchbergstrasse+23,Wollishofen - Im Lee,Uto,"1",0.00229551426613761,8.53245575,47.3437214,8.53430447024707,47.3423606578517
"25","3","91","3950","8038",Mutschellenstrasse 47,"Mutschellenstrasse 47, 8038",Zurich,Zurich,Switzerland,"0","108519915","47, Mutschellenstrasse, Wollishofen, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8038, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3517088,8.527526816389667","75",,Tannenrauchstrasse 10,,,,,Schulamt,"201807311228",,Schul- und Sportdepartement (SSD),dbo,,,"10",,,,,Volksschule,,Manegg,,239,,,,,,,,,,,,,,,Zürich,"8038",vo279,,"1",Tannenrauchstrasse,"Volksschulen, Schule, Schulen, Lernen, Schulhaus",+41 44 413 14 40,,https://www.stadt-zuerich.ch/schulen/de/manegg.html,,,,"Zürich, Jugendherberge",https://www.zvv.ch/zvv/de/fahrplan/fp.html?tolat=47.34801917993665&tolon=8.526329519251805&toname=Zürich%2C+Tannenrauchstrasse+10,Manegg,Uto,"1",0.0038790245436873,8.52752681638967,47.3517088,8.52632951923513,47.3480191779415
